stock_code,stock_name,股票代码,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
sz000514,渝 开 发,000514,-0.054,295031640.02,20.2317846081,5.808,-45555782.34,-793.6,-88.3572,-1.24,0.227734019764,23.5485641219,房地产开发,2024-10-29
sz000516,国际医学,000516,-0.0954,3606256924.42,7.8535217056,-4.9492,-212108983.83,4.59,43.9494,-5.6,0.275921025113,9.1890443933,医疗服务,2024-10-25
sz000517,荣安地产,000517,0.0999,17166218004.93,26.9445132298,-46.994,318054859.56,-68.86,-362.3803,3.64,0.411094543582,6.6186583428,房地产开发,2024-10-31
sz000518,四环生物,000518,-0.0142,155994341.01,-13.3054654161,1.5714,-14617155.78,66.26,56.0114,-3.0,0.000702106038,68.8538437898,生物制品,2024-10-30
sz000519,中兵红箭,000519,-0.0432,2718750588.77,-9.6015059625,-13.5093,-60202805.2,-129.31,-279.8896,-0.58,-0.853246892425,22.5462458396,专用设备,2024-10-28
sz000520,凤凰航运,000520,-0.0218,755498546.74,1.8364222831,-8.5409,-22082884.1,-33.07,2.1129,-4.14,0.032563191936,-0.3558511835,航运港口,2024-10-28
sz000521,长虹美菱,000521,0.515,22757699848.95,18.7299455823,-13.2952,530440364.03,6.35,-55.5267,8.86,2.665661314003,10.8336224937,家电行业,2024-10-23
sz000523,红棉股份,000523,0.0336,1583815279.76,-25.6194753427,-17.6322,61594427.99,201.8,52.713,4.3,-0.019457322427,13.7881124738,食品饮料,2024-10-30
sz000524,岭南控股,000524,0.2,3269835565.98,30.4078153986,31.2441,135227728.32,133.96,507.612,6.21,0.447407456547,18.8473381525,旅游酒店,2024-10-31
sz000525,ST红太阳,000525,0.0461,2702538124.55,1.8723205917,33.0694,26747545.77,14.04,377.4889,2.65,0.439070275567,25.4736767832,农药兽药,2024-10-31
sz000526,学大教育,000526,1.4922,2246816944.46,25.285340437,-31.4574,175728017.03,50.16,-87.2611,25.43,5.602380303531,34.9779364473,教育,2024-10-29
sz000528,柳 工,000528,0.6789,22855931683.88,8.249614126,-16.3185,1320624799.94,59.82,-30.5873,7.84,0.543081049534,23.4830329456,工程机械,2024-10-23
sz000529,广弘控股,000529,0.1458,1882029805.74,-8.765428878,-1.4282,85094076.75,-46.05,-74.8287,2.7,0.200309526247,4.2719471033,食品饮料,2024-10-29
sz000530,冰山冷热,000530,0.11,3714576184.29,3.1222812671,-3.9656,94574665.85,31.57,-67.435,3.08,-0.053706781866,17.0008532952,通用设备,2024-10-24
sz000531,穗恒运Ａ,000531,0.1764,3342850368.18,-5.2639834184,1.6632,183680141.9,-37.01,51.9671,2.77,0.476921775043,13.7040234989,电力行业,2024-10-31
sz000532,华金资本,000532,0.1052,300262800.28,8.7133359024,5.5142,36253117.44,-19.42,107.9637,2.65,0.34645620106,41.8563015841,综合行业,2024-10-25
sz000533,顺钠股份,000533,0.1032,1697268175.62,11.1643429557,4.4815,71290139.18,47.81,137.4019,8.79,0.056778585296,21.8377049617,电网设备,2024-10-26
sz000534,万泽股份,000534,0.2806,777326655.5,6.9068879679,29.3551,138781914.63,13.36,26.5293,10.54,0.100147930081,76.8743603956,生物制品,2024-10-31
sz000536,华映科技,000536,-0.3068,1316190090.93,62.7568488599,2.2203,-848494201.97,22.59,7.3506,-42.35,0.093999254007,-27.5418039779,光学光电子,2024-10-24
sz000537,中绿电,000537,0.46,2924084445.02,3.3483907481,18.03,915520534.82,13.31,51.3887,5.14,0.610280132363,59.2257766981,电力行业,2024-10-30
sz000538,云南白药,000538,2.42,29915155069.84,0.7633351317,-2.2841,4326728068.05,4.93,-23.4717,10.82,2.282813493088,28.4013509257,中药,2024-10-30
sz000539,粤电力Ａ,000539,0.2794,42517459818.0,-5.8832333871,23.6978,1467075725.0,-15.04,-27.3635,6.43,2.0697335346,13.816807279,电力行业,2024-10-31
sz000541,佛山照明,000541,0.1634,6887273560.82,1.3280189915,-7.2586,250922255.79,5.12,-45.9125,3.94,0.36876397504,19.0750679502,家电行业,2024-10-29
sz000543,皖能电力,000543,0.6982,22540532328.13,11.5241706545,21.719,1582646082.38,21.29,-17.1453,10.86,2.140332811652,12.273344446,电力行业,2024-10-28
sz000544,中原环保,000544,1.024,4087768545.43,-22.2330786448,-14.6317,998071810.05,19.32,2.8593,11.22,-0.730060050243,48.0444433973,公用事业,2024-10-29
sz000545,金浦钛业,000545,-0.0555,1624394349.23,-4.0953826938,-12.7154,-54729700.83,46.37,-440.2792,-3.83,0.018011453671,5.4859619736,化学原料,2024-10-26
sz000546,金圆股份,000546,0.1494,4491423849.09,191.5940260202,9.9822,116385619.17,253.53,-138.1016,2.76,-0.627717932905,0.6401961789,环保行业,2024-10-31
sz000547,航天发展,000547,-0.35,1190189186.44,-23.8965505124,-24.3701,-557891374.57,-6.48,-3.1039,-8.66,-0.146564614978,10.6714781731,通信设备,2024-10-31
sz000548,湖南投资,000548,0.184,514211802.51,59.8382490652,-19.0526,91797233.41,35.11,1.4891,4.54,0.175487252005,40.27216805,铁路公路,2024-10-26
sz000550,江铃汽车,000550,1.35,27730616481.0,17.9617374338,-1.3546,1166091015.0,15.52,-34.4951,10.86,1.999937039946,13.8604541866,汽车整车,2024-10-24
sz000551,创元科技,000551,0.5278,3356415470.26,4.8052033482,1.1321,211635059.64,54.48,-19.3606,8.68,0.629169223333,23.2464662919,环保行业,2024-10-30
sz000552,甘肃能化,000552,0.1928,7801374503.95,-9.3488069949,-22.3413,1031692417.84,-33.85,-62.7304,5.87,0.152600935329,32.6516413813,煤炭行业,2024-10-31
sz000553,安道麦A,000553,-0.789,21523293000.0,-12.7201856083,-10.6519,-1838112000.0,-76.32,-41.3609,-8.71,1.228525000075,22.1859498916,农药兽药,2024-10-31
sz000554,泰山石油,000554,0.1109,2537147488.16,-5.7867329129,1.624,53312587.87,127.91,0.004,5.5,0.85643180561,11.1348152951,石油行业,2024-10-31
sz000555,神州信息,000555,-0.1225,6679743855.82,0.9380357525,10.9894,-117946218.6,-235.96,-106.2642,-1.92,-0.763115420618,13.6053911486,互联网服务,2024-10-31
sz000557,西部创业,000557,0.1537,994676102.97,-17.0379910362,7.8713,224144048.04,13.9,-5.1829,3.76,0.356445921377,27.6838195195,物流行业,2024-10-29
sz000558,天府文旅,000558,-0.0069,133641391.7,-37.1714991224,56.9231,-8842147.44,6.59,13.2442,-0.82,-0.026546468716,31.1175951111,旅游酒店,2024-10-30
sz000559,万向钱潮,000559,0.217,10847159122.9,-2.1378978368,-12.6956,716564819.95,18.22,7.8452,7.95,0.274221684785,16.1432466128,汽车零部件,2024-10-26
sz000560,我爱我家,000560,0.0036,8762299213.6,-3.4204796268,-3.7663,8486614.06,112.49,-624.554,0.09,1.190365471687,7.3644669875,房地产服务,2024-10-31
sz000561,烽火电子,000561,-0.0971,715433149.54,-7.3211266268,-34.2887,-58647771.2,-194.0972834734,-199.3484,-3.15,-0.884168880539,35.3549641308,通信设备,2024-10-31
sz000563,陕国投Ａ,000563,0.1827,2016284164.67,5.154400561,-12.3518,934382745.46,12.28,-22.097,5.37,0.294902022093,,多元金融,2024-10-29
sz000564,供销大集,000564,-0.0058,1130883387.49,8.6919222009,15.086,-110997112.54,70.69,-177.2014,-0.8,-0.021430142146,26.5985687847,商业百货,2024-10-30
sz000565,渝三峡Ａ,000565,0.03,267994120.17,-28.9057902649,-13.5203,15034367.24,193.26,-156.8393,1.21,-0.082452132697,23.822360524,化学制品,2024-10-30
sz000566,海南海药,000566,-0.2275,804727228.88,-35.7581084768,-8.2974,-295188939.35,-1102.58,48.5656,-15.42,-0.051845600403,34.7672537823,化学制药,2024-10-31
sz000567,海德股份,000567,0.2646,855752295.69,-9.9075225492,8.3272,517243706.95,-32.74,-3.8439,9.35,0.073501804309,98.9292112255,多元金融,2024-10-30
sz000568,泸州老窖,000568,7.89,24303555187.3,10.7590700666,-4.1186,11593041150.05,9.72,3.2405,25.88,8.46806959989,88.434536322,酿酒行业,2024-10-31
sz000570,苏常柴Ａ,000570,0.0657,1957966927.25,8.2302910859,-29.9307,46357441.5,-70.45,-121.1134,1.34,-0.440417840316,16.2288668444,汽车零部件,2024-10-30
sz000571,新大洲A,000571,-0.0935,571706702.52,-30.1861263775,-15.257,-78056799.68,-27.35,-411.2607,-23.28,0.057817864667,33.1893674543,煤炭行业,2024-10-28
sz000572,海马汽车,000572,0.0341,1083994015.1,-44.1074625625,161.2365,56104547.33,137.53,416.1391,2.92,-0.046854927121,8.1744709362,汽车整车,2024-10-29
sz000573,粤宏远Ａ,000573,-0.0607,416825947.97,53.201299568,7.3008,-38761317.75,43.26,-379.7184,-2.35,-0.013583963238,7.4249990076,房地产开发,2024-10-31
sz000576,甘化科工,000576,0.05,278380642.97,0.1353397212,-34.606,20028378.09,-57.3,-150.4585,1.24,-0.109791784172,54.5909594355,电源设备,2024-10-30
