stock_code,stock_name,股票代码,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期,市盈率-动态,市净率,总市值,流通市值,流通股本(万股)
bj833284,灵鸽科技,833284.0,0.0367,39457859.7,52.4075246964,-37.5649,3821486.13,156.9,110.4128,1.24,0.46094468102,23.5648647207,专用设备,2025-04-25,373.55,10.21,3177100756.0,2054553391.0,67762315.0
bj833346,威贸电子,833346.0,0.14,72518169.85,19.0178493448,0.295,11006621.43,18.02,-21.2632,2.41,0.052153127678,30.1532147257,消费电子,2025-04-25,46.35,5.01,2265427092.0,1253034001.0,44623718.0
bj833394,民士达,833394.0,0.21,115085499.96,27.4250047094,-8.6394,30550526.07,49.92,2.5753,4.18,0.193432025573,39.7088974075,造纸印刷,2025-04-11,46.43,7.8,5852925000.0,5795446275.0,144813750.0
bj833427,华维设计,833427.0,0.01,15078147.42,-5.2298652756,-56.5496,1499708.96,-50.19,-82.2962,0.44,-0.112591423735,10.3177523516,工程咨询服务,2025-04-28,606.65,4.89,1593848700.0,782587735.0,50620164.0
bj833429,康比特,833429.0,0.1,193752584.37,26.078062372,-27.1373,12036941.28,9.66,-49.3299,1.39,-0.941864700241,38.6369612996,食品饮料,2025-04-18,75.63,2.77,2297025000.0,2090180039.0,113288891.0
bj833454,同心传动,833454.0,0.06,37132425.81,39.328152539,-14.3954,6471892.62,105.0,-19.0958,2.01,0.191824999524,29.2839546375,汽车零部件,2025-04-21,67.17,6.06,1912820000.0,1149860075.0,63179125.0
bj833455,汇隆活塞,833455.0,0.04,35626541.19,13.7051531747,-9.3352,7766273.78,-42.64,35.566,2.21,0.006821315976,39.4558392156,通用设备,2025-04-29,55.51,5.17,1715941500.0,897212345.0,92783076.0
bj833509,同惠电子,833509.0,0.06,39091587.32,23.8387842225,-39.0236,9924975.53,125.39,-56.35,2.87,0.055260508101,56.8222996374,电网设备,2025-04-22,82.92,14.72,4860468703.0,2546008603.0,83971260.0
bj833523,德瑞锂电,833523.0,0.34,117636483.7,7.0323209853,-13.3912,34311442.04,19.21,-22.7214,5.61,0.320645227411,40.2622060183,电池,2025-04-28,20.63,4.78,3053223262.0,2442530922.0,81039513.0
bj833533,骏创科技,833533.0,0.1,161264239.68,-23.9208171055,-14.2169,9757812.12,-62.79,54.9849,2.73,0.177402893504,23.214863273,汽车零部件,2025-04-28,151.05,13.33,4623579118.0,2553342064.0,72209900.0
bj833575,康乐卫士,833575.0,-0.25,13499.14,-90.5092084822,-94.9568,-70345547.8,18.12,14.0576,-13.59,-0.1922205871,62.458201041,生物制品,2025-04-29,-12.4,9.0,3649410600.0,2441323453.0,187938680.0
bj833580,科创新材,833580.0,0.03,17022544.84,-8.1581210216,-58.5697,2248217.51,-48.89,31.9197,0.68,-0.091586885814,31.0075923407,装修装饰,2025-04-24,99.14,4.21,1393200000.0,905637688.0,55903561.0
bj833751,惠同新材,833751.0,0.12,51453551.85,6.5269742055,4.6619,10733404.71,28.37,26.6735,2.78,0.054351228394,39.9811754103,钢铁行业,2025-04-28,41.15,5.17,1959492400.0,1875655683.0,83067125.0
bj833781,瑞奇智造,833781.0,-0.01,49197237.05,-0.9393507606,-70.0337,-1726325.9,-143.96,-123.0203,-0.42,-0.167035373691,19.1230476428,专用设备,2025-04-28,-93.75,3.86,1545670540.0,1020822300.0,102082230.0
bj833819,颖泰生物,,,,,,,,,,,,,,-,-,-,-,
bj833873,中设咨询,833873.0,-0.07,10801350.54,-20.1940126763,-59.2386,-10911443.06,18.41,74.8442,-3.52,-0.033360050286,-55.5316363244,工程咨询服务,2025-04-25,-24.28,4.1,1211757316.0,870607784.0,110203517.0
bj833914,远航精密,833914.0,0.17,216176983.11,25.7690925944,-11.7746,16360474.58,36.71,-35.3796,1.78,-0.797258658,15.4687393491,电子元件,2025-04-24,60.66,4.01,3756000000.0,3753042150.0,99921250.0
