行业代码,行业名称,上级行业,成份个数,静态市盈率,TTM(滚动)市盈率,市净率,静态股息率
852182.SI,检测服务,专业服务,20,45.21,42.47,3.6,1.09
852183.SI,会展服务,专业服务,3,36.14,41.8,2.32,1.88
852121.SI,酒店,酒店餐饮,5,33.07,40.85,1.93,1.49
852111.SI,人工景区,旅游及景区,5,23.91,32.91,1.97,1.98
852112.SI,自然景区,旅游及景区,13,37.68,37.45,2.88,1.51
852131.SI,旅游综合,旅游及景区,6,37.62,55.78,3.63,0.82
859852.SI,培训教育,教育,11,50.49,54.08,7.64,1.99
857821.SI,国有大型银行Ⅲ,国有大型银行Ⅱ,6,7.01,6.95,0.67,6.19
857831.SI,股份制银行Ⅲ,股份制银行Ⅱ,9,5.69,5.66,0.54,5.17
857841.SI,城商行Ⅲ,城商行Ⅱ,17,6.19,5.83,0.67,4.64
857851.SI,农商行Ⅲ,农商行Ⅱ,10,6.24,6.05,0.6,4.96
851931.SI,证券Ⅲ,证券Ⅱ,50,23.59,16.38,1.43,1.52
851941.SI,保险Ⅲ,保险Ⅱ,5,9.8,7.49,1.49,2.82
851922.SI,金融控股,多元金融,9,25.48,23.92,1.12,1.41
851927.SI,资产管理,多元金融,4,59.87,47.91,2.99,0.36
852311.SI,综合Ⅲ,综合Ⅱ,15,102.51,67.64,3.35,0.55
857111.SI,水泥制造,水泥,14,19.38,15.67,0.86,3.37
857112.SI,水泥制品,水泥,7,89.58,42.16,1.77,1.45
857121.SI,玻璃制造,玻璃玻纤,7,61.43,41.28,1.61,0.7
857122.SI,玻纤制造,玻璃玻纤,9,76.22,49.86,4.96,0.97
850615.SI,耐火材料,装修建材,6,29.28,40.1,2.2,1.84
850616.SI,管材,装修建材,7,21.44,25.35,2.22,3.3
850614.SI,其他建材,装修建材,17,19.98,23.67,1.87,1.95
850623.SI,房屋建设Ⅲ,房屋建设Ⅱ,8,5.56,5.96,0.51,4.26
857221.SI,装修装饰Ⅲ,装修装饰Ⅱ,23,23.4,23.81,1.26,2.86
857236.SI,基建市政工程,基础建设,24,7.39,8.01,0.64,3.1
857251.SI,园林工程,基础建设,21,303.68,183.63,5.78,0.17
857241.SI,钢结构,专业工程,9,36.48,37.71,1.73,1.1
857242.SI,化学工程,专业工程,7,12.72,12.09,1.15,1.87
857243.SI,国际工程,专业工程,4,12.46,13.48,1.22,2.96
857244.SI,其他专业工程,专业工程,19,25.59,38.95,1.72,1.09
857261.SI,工程咨询服务Ⅲ,工程咨询服务Ⅱ,41,28.47,31.59,2.25,1.29
