date,up_count,down_count
2025-11-18,1275,4171
2025-11-19,1197,4249
2025-11-20,1453,3993
2025-11-21,353,5098
2025-11-24,4227,1224
2025-11-25,4299,1153
2025-11-27,2789,2664
2025-11-28,4121,1332
2025-12-01,3397,2056
2025-12-02,1543,3911
2025-12-03,1443,4012
2025-12-04,1454,4001
2025-12-08,3409,2046
2025-12-09,1308,4147
2025-12-10,2434,3022
2025-12-11,1033,4423
2025-12-12,2682,2774
2025-12-15,2314,3142
2025-12-16,1091,4366
2025-12-17,3625,1833
2025-12-18,2845,2614
2025-12-19,4476,984
2025-12-22,2983,2477
2025-12-23,1512,3951
2025-12-24,4127,1337
2025-12-25,3772,1693
2025-12-26,1866,3599
2025-12-29,1995,3470
2025-12-30,1839,3629
