datetime,stock_code,action,target_value,current_value,shares,price,resulting_ratio
2024-11-06 09:42:00,600503.SH,BUY_ALLOC,71135.24,0.0,3500,2.53,0.024896
2024-11-07 00:00:00,000590.SZ,REBAL_SELL,69858.42,71550.0,200,7.94,0.2
2024-11-07 00:00:00,000563.SZ,REBAL_SELL,69858.42,73470.0,700,4.74,0.2
2024-11-07 00:00:00,002919.SZ,REBAL_SELL,69858.42,75486.0,300,16.39,0.2
2024-11-07 00:00:00,600503.SH,REBAL_BUY,69858.42,9380.0,22500,2.68,0.2
2024-11-08 00:00:00,002919.SZ,REBAL_BUY,72219.36,67596.0,200,15.74,0.2
2024-11-11 09:30:00,002171.SZ,BUY_ALLOC,72914.16,0.0,10200,7.11,0.198924
2024-11-11 09:30:00,002782.SZ,BUY_ALLOC,72886.51,0.0,5200,13.85,0.197622
2024-11-11 09:31:00,002219.SZ,BUY_ALLOC,72868.91,0.0,25400,2.86,0.199383
2024-11-11 09:33:00,600480.SH,BUY_ALLOC,72912.44,0.0,100,10.22,0.002803
2024-11-11 00:00:00,002919.SZ,REBAL_BUY,73697.49,71640.0,100,15.94,0.2
2024-11-11 00:00:00,002171.SZ,REBAL_SELL,73697.49,75786.0,200,7.42,0.2
2024-11-11 00:00:00,600480.SH,REBAL_BUY,73697.49,1035.0,7000,10.36,0.2
2024-11-13 09:30:00,603516.SH,BUY_ALLOC,76582.46,0.0,2100,35.2,0.193047
2024-11-13 09:31:00,000599.SZ,BUY_ALLOC,76558.27,0.0,13600,5.61,0.199315
2024-11-13 09:31:00,002862.SZ,BUY_ALLOC,76822.64,0.0,3500,21.51,0.195997
2024-11-13 00:00:00,000599.SZ,REBAL_BUY,77158.11,75208.0,300,5.54,0.2
2024-11-14 09:32:00,603311.SH,BUY_ALLOC,78622.91,0.0,7300,10.73,0.199252
2024-11-14 09:33:00,600787.SH,BUY_ALLOC,78863.28,0.0,13200,5.81,0.194494
2024-11-14 00:00:00,600787.SH,REBAL_BUY,79130.96,74976.0,700,5.69,0.2
2024-11-15 09:30:00,600281.SH,BUY_ALLOC,78189.56,0.0,18000,4.33,0.199362
2024-11-15 00:00:00,603311.SH,REBAL_SELL,78181.77,79570.0,100,10.89,0.2
2024-11-15 00:00:00,600787.SH,REBAL_SELL,78181.77,86875.0,1300,6.24,0.2
2024-11-15 00:00:00,600281.SH,REBAL_BUY,78181.77,76140.0,400,4.23,0.2
2024-11-18 09:31:00,000679.SZ,BUY_ALLOC,81107.57,0.0,17200,4.69,0.198916
2024-11-18 09:31:00,600844.SH,BUY_ALLOC,81237.1,0.0,500,3.2,0.003939
2024-11-18 00:00:00,600787.SH,REBAL_SELL,79418.06,86688.0,1000,6.87,0.2
2024-11-18 00:00:00,000679.SZ,REBAL_BUY,79418.06,76024.0,700,4.42,0.2
2024-11-18 00:00:00,600844.SH,REBAL_BUY,79418.06,1565.0,24800,3.13,0.2
2024-11-19 09:30:00,001296.SZ,BUY_ALLOC,77184.3,0.0,4000,17.77,0.184183
2024-11-19 09:30:00,002103.SZ,BUY_ALLOC,77161.19,0.0,200,6.64,0.003442
2024-11-19 00:00:00,001296.SZ,REBAL_SELL,78675.09,81400.0,100,20.33,0.2
2024-11-19 00:00:00,002103.SZ,REBAL_BUY,78675.09,1448.0,10600,7.25,0.2
2024-11-20 09:30:00,000906.SZ,BUY_ALLOC,79300.8,0.0,11100,7.09,0.198482
2024-11-20 09:31:00,001696.SZ,BUY_ALLOC,79270.73,0.0,2900,26.46,0.1936
2024-11-20 09:31:00,002582.SZ,BUY_ALLOC,79332.66,0.0,12000,6.58,0.199061
2024-11-20 09:31:00,600322.SH,BUY_ALLOC,79516.76,0.0,4800,2.43,0.029337
2024-11-20 00:00:00,002103.SZ,REBAL_SELL,80753.13,85968.0,600,7.95,0.2
2024-11-20 00:00:00,000906.SZ,REBAL_SELL,80753.13,81918.0,100,7.37,0.2
2024-11-20 00:00:00,002582.SZ,REBAL_SELL,80753.13,82320.0,200,6.85,0.2
2024-11-20 00:00:00,600322.SH,REBAL_BUY,80753.13,12000.0,27500,2.5,0.2
2024-11-21 00:00:00,002103.SZ,REBAL_SELL,82305.93,89352.0,800,8.75,0.2
2024-11-21 00:00:00,001696.SZ,REBAL_BUY,82305.93,79228.0,100,27.35,0.2
2024-11-21 00:00:00,002582.SZ,REBAL_BUY,82305.93,78234.0,600,6.64,0.2
2024-11-22 09:32:00,603196.SH,BUY_ALLOC,83926.73,0.0,5300,15.56,0.196524
2024-11-22 10:14:00,002312.SZ,BUY_ALLOC,84883.08,0.0,5000,16.78,0.197684
2024-11-22 10:58:00,603217.SH,BUY_ALLOC,85434.69,0.0,200,19.0,0.008896
2024-11-22 13:15:00,002123.SZ,BUY_ALLOC,85458.09,0.0,100,11.04,0.002584
2024-11-22 00:00:00,002103.SZ,REBAL_SELL,84440.06,90616.0,600,9.63,0.2
2024-11-22 00:00:00,603196.SH,REBAL_SELL,84440.06,87715.0,100,16.53,0.2
2024-11-22 00:00:00,002312.SZ,REBAL_BUY,84440.06,80550.0,200,16.13,0.2
2024-11-22 00:00:00,603217.SH,REBAL_BUY,84440.06,3628.0,4400,18.16,0.2
2024-11-22 00:00:00,002123.SZ,REBAL_BUY,84440.06,1078.0,7700,10.79,0.2
